Solo,Title,Text
,"Great Hostel, Great people","Just had a 4 day stay at the Tortoise, and it's safe to say it's the funnest hostel in SF. Met loads of great people in their amazing huge ballroom that guests can chill out and drink in. Jackie, one of the staff, made our stay particularly delightful, keeping us company while…"
,"Day Pass for showers, Laundry and Breakfast",We just finished the Yosemite tour with this company and were due to check in to another hostel later in the day. As we'd just camped for 3 nights and slept on a bus etc we really needed a freshen up and the tour guide offered everyone a day pass to use this hostel (where they…
,Good location ," The recepcionist was gross and unfriendly, But all the rest of the staff was friendly. Theres something really upseting, the stairs... I had to go up two flights of steps with my baggages, and i was pretty tired. No one from the hostel offered to help me... "
,Average hostel,Location is alright - it's within walking distance to Pier 39 but it is located in the red light district. Often heard drunk people on the streets late at night so might affect you if you're a light sleeper. Always had to wait to use a bathroom as there are only 5 single…
,Great Stay!,"When I first walked in here i thought omg what have i booked... but it was an incredible stay!! It is a old building and its not modern at all, after a while i got used to it though and it gave the place a great feel to it. Was nice to be in a not so modern building. The hostel…"
,California Dreamin',"We arrived at the hostel at approx. 12am, after a very long day of travelling from the UK feat. many delays and glasses of wine. Morale was low. The check in, however, was exceptionally easy, even though we arrived on 4th July and butchered the receptionists' party plans.  We…"
,Green Tortoise is Great!! ,"I don't stay in motels often.. But we had to try save some money!! Green tortoise was one of the cheapest accommodation available and had the best reviews when we had done some research.   The staff are friendly, the amenities are great! Beds are clean, comfortable....  Pillows…"
,Great one night stay,"I was arriving late into San Francisco on a delayed flight and had to relocate to another hostel and was recommended the Green Tortoise. The staff were incredibly helpful and efficient. Despite how quickly accommodation gets filled up in the city, the staff were able to reserve…"
1,Perfect for solo travelers ,"37 yr old solo female traveler. Like to site see and party - perfect location, friendly staff, clean for a hostel, strong wifi signal, plug sockets beside bed, large storage space (bring a padlock), lots of information for trips and local information, great atmosphere, if you…"
,Best hostel in America,This place was absolutely amazing and you feel super welcome here - The location is very close to everything - They have a deal with the local bike rental company (beware of the hills) - Free vegetarian dinner 3 nights a week and free treats most nights from a local bakery -…
,Great stay at an affordable price in San Fran!,"We had a great stay at the Green tortoise for 2 nights in a private room. Don't be put off by the comments about ""the long walk"" to the separate building for the private rooms, it's only two blocks away and isn't a hassle at all. When we checked in the lovely lady behind the…"
,Best hostel ever!,"I liked everything about this hostel!  Location is pretty good and walking distance to many touristic attractions. Room is clean and it has a sink, so you don´t have to go to the toilet just to brush your teeth. The hostel has around 3-4 toilets per level and I could always find…"
,Amazing place to stay,"I cannot say enough positive things about this hostel.  My mom (74), my niece (16), and I (43) stayed here for four days in June as part of a three-week trip.  I wanted my niece to experience a hostel for the first time, and this was the perfect choice.  There were people of…"
,Great place to stay!,"We stayed in the green tortoise hostel for four nights in the triple private room. It was a great place to stay as the staff were so friendly. The hostel had enough bathrooms on each level for guests. Although some of the decor is dated, the hostel was always clean. The…"
,"good location, helpful with planning your stay, well equipped - great value for money","Although the rooms and bathrooms are not much, this hostel is actually pretty great. They organize a lot of social events, give free food and drinks, and you can find tips on exploring SF everywhere. They even organize some trips to national parks nearby. Staff is helpful and…"
,This Hostel Rocks!,"My experience at this hostel has always been great.  Now I will say this, my ability to stay here being a Bay Area local is a major exception, so if you are local, don't expect it to happen for you as well.  I booked the same day I was going to stay (for one night).  Tony, who…"
,Great hostel,"My wife and I stayed for 3 nights and had a blast. We found the place on AirBnB and got a room for a steal, considering San Fran prices.  The central room being an old ballroom with high ceilings was a great place to eat the free breakfast and 3x weekly free dinners.   The place…"
1,Bit different!,"The green tortoise is a huge hostel in an old ballroom of some sort, full of character and great crowd, rooms are standard, comfortable and not too noisy, free breakfast which is really good and delicious free dinners 3 times a week, great atmosphere. Bikes can be rented and…"
,Would recommend this hostel,I was a little nervous at first to book this hostel because some of the reviews said it was very noisy.  We did not find it that way at all.  There were always available bathrooms.  The mattresses are a little hard.  There was a sink inside the room which was great.  Location…
1,Excelent hostel,"This hostel is great. Stayed a week in the 7 bed room. My bed wasn't the best because it is at the window, so it is very noisy. Great common saloon, great breakfast. Helpful and friendly staff with lots of activities in the hostel."
,Good hostel in SF,"We had a great stay at the Green Tortoise, no complaints. Stayed a couple nights in a  private room and in a dorm room, both of which were comfortable. Hostel is in an old building but decorated well, bathrooms are shared and kept clean. I loved the giant common room where they…"
,Great place to stay,Location couldn't have been better if you've already done the usual tourist things. Excellent way to experience sf. Great dining and bars nearby. Staff was helpful and the place was nice. Super clean too.
,"Typical hostel, fine.","Really friendly staff with lots of information, couldn't fault them. This is your typical hostel with loads of rooms and lots of people. We stayed for 6 days in a private room with shared bathroom. No issues with either, the rooms and bathroom areas were always cleaned. They…"
,Massive place to stay,If you are going to go to a backpackers in San Fran this is the place to go. Staff were very helpful and very friendly. Great common room and also did breakfast when we stayed there as well as dinner some nights Always got things on thru the week.....
,OK for the budget conscious - but would not return,"We stayed in a twin private room with bunkbed for 4 nights. Accommodation is San Fran is incredibly expensive, and this was the cheapest centrally located hostel we could find.  Next time we would go for Air BnB, even if it means being a little less central.   Pros 1. Location -…"
1,This is what I imagined hostelling would be like in my 20s,"This is a great hostel. The building is impressive and they have used the old ballroom really well as a breakfast/dining/social room. The breakfast is good and the free dinners are pretty cool and tasty. The rooms aren't huge, but they're nice and for a hostel of that size,…"
1,Fantastic Hostel!,"This hostel was excellent, best of all - the beds!! It was like sleeping on a cloud! Even though the hostel itself is very big and therefore a lot of people, it was very nice and quiet. The staff were very friendly and very helpful when I got in quite late.   I only stayed one…"
,Friendly and comfortable ,"We really enjoyed our stay at the green tortoise. All the staff were very friendly and helpful, there were good events in including free dinners three nights a week, free breakfast and activities in the evenings. It is in a very central location and the staff are helpful with…"
1,Disfunctional and weird,"The entire place is kind of creepy. Reception seems to tolerate your presence, but not actually care about your business. Small rooms with just a sink. To use the bathroom you need to walk down the hall and crawl into a restroom disguised as a closet. I guess I would stay here…"
,Fun and friendly,Me and my fella stayed here twice on our trip. We stayed in both private and dorm rooms. Both were clean and comfortable. On our last night the second time we got to stay in a special room called the Birds Nest. Staff all lovely and helpful. The hostel serves an excellent free…
1,"Excellent Value, Lovely Rooms, Breakfast Inc, Friendly Staff","I stayed in the Green Tortoise in 2013 and when I came back to SF in 2015 I couldn't imagine staying anywhere else.  The staff are very friendly and helpful. The rooms are comfortable - there are bunk beds, with giant lockable storage under the beds and girls only dorms are…"
1,little house on the praire,"Had an amazing warm,  comfortable, stay in the Green Tortoise hostel. I stayed in a small house around the corner couldn't have been more perfect. A lovely view on the balcony, clean and modern kitchen. But still welcome to access the main hostel l stayed for 2 days waiting to…"
,Great place to stay!,If you're looking for a place to stay and love travelling and others that love travelling then this is the place to be!! The people that coke through this place is awesome met so many great people and the location is terrific!! They put on a Superbowl tailgate party and too us…
,Great amenities and location for the price!,"I stayed in a private room - it was small but had everything I needed since I was barely in the room anyway. Location was perfect and in walking distance to Chinatown, Little Italy, North Beach, the Financial District, and other neighborhoods in San Francisco. The immediate area…"
,Great facilities for a hostel!,"Staying here for a small week with a friend while exploring San Francisco.  For a hostel, the kitchen is indeed very clean and well equipped. The common area is quite nice, too. Music always playing, perhaps a knot too loudly though.  Rooms are fine. People are snoring, but it…"
,"Tortoise O, Yes, Good food, Great Staff Centrally Located: Sauna 3rd floor","Green Tortoise O, Yes! ....The Youth Hostel is located in North Beach (near most everything you want to see) also all major bus lines and Ferry Rides. The staff is friendly, the rooms are clean. The main area is ballroom this where the kitchen is as well, has 30 foot or 10 M…"
,Bring ear plugs ,"The room was alright - we were in a private room. Felt a bit dingy and dated, but that's most places in SF. Probably wouldn't stay here again.   Pros - location was good, free breakfast, free wifi.   Cons - dirty, expensive, noisy.   Tips- bring ear plugs, there is overnight…"
1,A friendly gem in San Fran,"Green Tortoise has a great vibe. Clean rooms and bathrooms, very friendly staff and an excellent social area. Good if you don't want a sterile place to stay. It's also 2 minutes away from City Lights Bookstore, which is wonderful."
,"Nice, cheap hostel","Not the best location, but is a great cheap hostel and we still managed to get around, although our group don't mind walking but others might.  Fairly nice rooms and had some form of dinner or entertainment each night. The free breakfast was good too."
,Private rooms - clean but so noisy!,"After a great stay in a dorm in 2012, we returned and tried out the private rooms which are in a separate building a couple of blocks away. The building is nice, with small but comfortable rooms and a good kitchen.   However, the building is incredibly noisy. We slept with ear…"
,"Second time, still loved it","This was the second time I stayed at the Green Tortoise, but the first time in a private room. Everyone says the private rooms are in a separate building and I knew this but I wasn't prepared for how far away the building is.  It didn't bother us when we didn't have bags, just…"
,Friendly & Clean,"This hostel is for travelers of all walks of life. The building is gorgeous old SF style. The ballroom, used for meals, socializing, and fun has amazing aesthetics with great views.  There are plenty of clean shower rooms with hot water.  Walking in this neighborhood is very…"
,Great hostel!!!,"Excellent location! There's a tram stop just down the street, and within easy walking distance to good cheap restaurants. We got a private twin room, and it was just big enough for 2. Only tiny drawback was the bed. Super hard, like sleeping on a wooden board. But that was it.…"
1,A hostel that's really for the guests!,"First of all, the staff are super friendly and informative, and waive fees at the drop of a hat. They organise several free activities for guests, and provide plenty of free food, too. The bathrooms are plentiful and basic toiletries are supplied."
,The best,Super fun and social without being crazy. Very friendly staff. Not too expensive. Great location right near little Italy and China town. Comfy beds with lots of leg room if you are tall. Very nice social room with huge windows all around. 
,Pretty good,"Everything was perfect. Breakfasts were amazing! Bathrooms were clean, as were the rooms. Everything smelt of weed though which was kinda gross, especially the lounge. And also the wifi only works in the lounge which was lame since they said it worked throughout and was also…"
1,Like a big hug,"This was my first time staying in a hostel (SFran DT hotel prices are crazy) and I really enjoyed it.  Stayed in a private room in the main building- everything is very clean. I met people from all over , had some good conversations, and felt at home here.  For someone traveling…"
1,Th greatest place to stay in SFO,"I checked in Friday November 13th. There are a bunch of good stuff I'll review about this hostel. You can't beat the location and price, the hostel is located right on Broadway and Kearny, it is within walking distance to bars, restaurants, it is within walking distance to…"
1,Loved it!,"Great location next to Chinatown, and you can walk to the pier. Comfortable beds, nice breakfast, great people, great atmosphere! Be prepared to make friends and attend their nightly activities too! I would recommend this to everyone and anyone!"
,Awesome and affordable!!,Stayed here with another girl in late October in one of the private rooms  as we weren't too sure about dorm rooms. The private rooms were in another building a couple of streets away and had a balcony with a beautiful view of bay bridge and the financial district. Honestly feel…
1,"Super friendly, great breakfasts and comfy beds!","The decor of Green Tortoise is striking, the colourful carpets, and huge common area.  The staff are friendly and helpful, probably the friendliest staff I have ever found at a hostel. The breakfasts are good - bagels/Toast/Cereal/eggs/fruit.  There are free dinners three times…"
,Better than I remember...sort of,I stayed at the one in Seattle almost 20 years ago. This one brought back great memories of that time and place yet was even better with a great breakfast included & WiFi being the norm now. I missed the community supper by checking out Monday morning but I imagine it to be like…
1,Quirky and Fun Hostel- Great Stay!,"This hostel had me from the moment I walked in! It is so hip and fun with quirky decor and super friendly staff. My room was fantastic! I stayed in a private room and it was quiet, and had a mirror and lots of power points. My bed was big and really comfortable!  The bathrooms…"
,Highlight of my stay in San Francisco ,"Maybe I just lucked out and had the time of my life because my fellow travelers were an exceptional bunch, but I imagine my experience was not exceptional, and the staff is extraordinary. So easy to be ""a part of"" when everyone is so kind. I stayed a week and became friends with…"
,Awesome!,Stayed in this hostel with 15 other travellers I met whilst travelling California. We were able to stay in a room together (for five people) and our friends where close by. The staff was very helpful; had maps on hand and gave us every detail we needed to know. The location was…
1,Great hostel for the price and location ,"This hostel is well located of you are a newby to the city. Walking distance to many attractions, bars, rest. The staff at reception very helpful. Breakfast is pretty decent considering that is free. Large variation of food. Even eggs that you have to cook yourself but it's…"
,Great location & large rooms!,"Great location, right in the middle of the action in North Beach. Public transport close by and walking distance to Fishermans Wharf and Union Square (decent walk mind you) Free breakfast was fresh and delicious and all facilities were clean. Staff not that friendly but having…"
,Affordable and Convenient Location,I've never been to a hostel prior to Green Tortoise so this was an awesome experience. My friend and I shared a bunk bed in a private room (I didn't like the idea of sharing a room with strangers so the private room was the best option). I was not disappointed. It was clean and…
,Everything just good enough,"There are limited choices for hostels in San Fran. This one is the place to be as far as I'm aware. It's the one that's most people seem to talk about and it satisfies all the criteria that you want from a hostel, cleanliness, social, fair value, good location. It doesn't excel…"
,Glad to leave this place,"We stayed 3 nights in the green tortoise hostel in SF. The good things about this hostel were the price, the location (that's why we booked it) and the nice staff. We stayed in the seperate building with privaterooms. Our room was small and smelly. There was a window, which you…"
1,Just what you want out of a hostel experience.,"Around the clock friendly staff, well organized, playful atmosphere; with lots for its guests to do.   The sort of place where they've already thought of everything you need. Definitely look forward to my next stay there.  They also offer group adventure trips in their traveling…"
1,"Fun, inexpensive option in the heart of San Francisco","I am not in my 20s. I am not in my 30s. For me to stay at the Green Tortise Hostel was a bit odd to my friends.  However, I'm so glad I did this for my birthday!  This is a great, fun, quirky, older place to stay right in San Francisco.  It offers free breakfast every day - you…"
,A nice hostel in a decent location,"This hostel has a friendly environment and very welcoming and helpful staff. The rooms were clean, and when I commented on a dripping sink in the room, it was fixed immediately. The free dinners a couple of times were very welcome as a budget traveller, and the opportunity to…"
,Poor hygiene. Blood on bedding.,This hostel needs an upgrade badly and improvements to hygiene. I stripped the bed after my stay as asked and found extensive blood stains on the mattress protector that soaked through to the mattress. The staff member who addressed my complaint did eventually provide me with a …
,Great Hostel,"I had never stayed at a hostel prior to my stay at the Green Tortoise so I was slightly nervous when my friend suggested it, however I would stay again in a heart beat. My friend and I stayed in a room with 3 other people for the 2 nights that we were in town. The front desk…"
,Overpriced disappointment,"I chose this hostel based on the good reviews on tripadvisor. However, only the location was excellent, but the (private) room was small, dark and it lacked storage space. Bathrooms were always occupied and stafd was unfriendly. Fine hostel only when you're a low-budget…"
,Great Hostel!,"We picked Green Tortoise based on the reviews here (which weren't wrong) and the fact that this hostel seems to be one of the cheapest in San Fran (which isn't cheap at all).  It's in a convenient area, close to the waterfront and easy enough to walk to Union Square too. Lots of…"
1,no complaints,"I stayed at Green Tortoise hostel and did 2 tours with them. The burning man tour and the Yosemite tour.  the hostel is very welcoming, well organised and the staff go out of their way to make everyone feel at home. The tours were also well organised without been micro managed.…"
,Noisy dance clubs but near Chinatown.,Many dance clubs nearby and homeless loitering around. Next to Chinatown. Definitely not for family stay or preference for quiet nights. Rooms are tiny with bunk beds. Clean toilets though. Walk up those stairs from ground to lobby check in. Not for heavy luggage.
1,Better than others,"Its definitely one of the best hostels in SF, i was staying at another one that was the same price and i can't even compare it to this, this one made me feel comfortable since the first moment i get there, the staff is really polite and the people is amazing, i will recommend…"
1,one of best hostels i've stayed in,"This place is excellent. I used it while exploring San Francisco and then used it again as a base while I traveled elsewhere between San Francisco. Beds are comfortable, massive common area and good kitchen. The free breakfast is good and the free dinners are good also. There…"
1,Perfect,"Amazing place ! Nice and friendly people,  Free breakfast, free diner some days in the week and you can use the kitchen if you want cook something. Many rooms (dorm m/f/mix and private). Good situation in north beach. You can find a lot of interesting people here ! Good…"
,Nice hostel,"The Green Tortoise is a nice hostel in San Fran located near the red light district, despite that it isn't seedy or low brow. Feels perfectly safe.  The triple room was adequate. Nothing special, but clean and comfortable. Didn't have any issues.   Breakfast is serve yourself.…"
1,Great stay in SF,"The hostel is pretty decent and fun, full of events, fairly clean and amicable as a whole. Breakfast is bagel, pb&j, cereals and maybe some fruit. Wifi works ok, location is very handy. The downside was the owner was constantly freaking out about little things, it was really…"
,Nice hostel,Very nice hostel ! The main room is like an old theatre. Breakfast is awesome and their is three free diners per week. I did one and it was very good ! Their is organic products in the shower which is very very nice ! The staff is very nice also. The only thing is that it's…
,Top class,"Stayed here last year and only getting round to writing a review now. 13 of us stayed from Ireland. Great location, great services. Decent breakfast. Great set up, the big room great for meeting people. No complaints at all and would definitely recommend to anyone."
1,Good place to stay in San francisco ,"I stayed here in August and enjoyed my time here at the hostel. The rooms are great, the bathrooms are always clean as well. There is a laundry room that you can do your laundry in and you can also join in for free meals during the week or buy your own alcoholic drinks and drink…"
,One of the best hostels I have ever stayed in,"This hostel is conveniently located in San Fransisco, near Chinatown, the Italian district and the BART. The hostel is clean, has a kitchen that serves a good breakfast (included in the price) and offers free evening meals three times a week. Other nights group events are…"
,Fantastic Hostel,"Disclaimer: This is a hostel. When you book, make sure you understand the difference between a hostel and a hotel!  I've stayed in a lot of hostels all over the world, but this is the first time my boyfriend had ever stayed in one. We chose this place because we are from…"
,Great place if you're on a budget,"I was here for about a week and it was the perfect place for the trip I wanted - it was cheap, safe, well-located, and full of guests and staff ready to help me make the most of San Francisco. Would definitely go back!"
,"Good place, Great breakfast","I stayed here a couple of days during my road trip. Place was nice and the staff friendly. Although the location is good, the rooms are quite small. There is events almost all evening to meet people. Worth to stay if you want to have a good time and meet people."
,DEFINITELY WORTH A VISIT,The Green Tortoise was recommended to us by a friend during our stay at another hostel in San Fran. We chose to switch places due to not enjoying the one we were in and it was TOTALLY worth it. The location is perfect - in a nice safe area of San Fran. The staff were so helpful…
1,Great place,"Had a great time staying here for 4 nights. Rooms and bathrooms were very clean, and the kitchen was also spotless. The staff were generally friendly but I did overhear one staff member telling a guest to just use google maps when asked directions. It also didn't quite have to…"
1,First time in a hostel,"Really excellent hostel , really clean and staff is really friendly and everyone is absoulutely friendly. Great location and great for a first timer in a hostel. The breakfast and the events help you to meet more new people and this is what is exciting about the hostel . most…"
,Greatest hostel in San Fran!!,"We stayed at the green tortoise hostel in Seattle, so I expected this place to be good, but at the end I thought it was fantastic!!! The people are really friendly, and easy to talk to. And free breakfast every morning, and free dinner every other night. Who doesn't want that??…"
1,True Hostel Experience,"Rooms are clean and spacious, bathrooms adequate, free breakfast and computer access, and free dinners spread throughout the week. One of the friendliest hostels I've stayed in the states, there seems to be a cool crowd that gathers here. Staff are friendly and helpful, and the…"
1,"Great location, nice atmosphere, had a great stay!","I traveled by myself to SF and chose the Green Tortoise after reading several reviews. As far as price, yes it was pricey but consider that SF is an expensive city as it is and for the location, it is totally worth it (I stayed in the private standard room). Yes, there are a lot…"
,3 Nights at GT,"We stopped at GT for 3 days while we saw the sights of San Fran it is a Fantastic hostel with fantastic staff, good location, nice breakfast and dinner 3 nights a week, would recommend to any age traveller, would definitely like to return 1 day."
1,Fantastic hostel with great atmosphere,"Everything people say about this place is true- it's a hostel like no other. If you want to meet people this is the place to be. The atmosphere is fantastic with free dinners, organised activities and pool and foosball and guitars in the big common room. There is a real sense of…"
,Best hostel yet,This hostel will definitely be hard to beat. Fantastic organised activities and pub crawls. Great cheap/ free food. Great location. Huge common area for meeting people. Good size private bathrooms and large storage lockers under bed (triple room). Can't wait to come back 
,"Rude staff, fine hostel.",Stayed here for two nights in July. Didn't live up to the hype at all. The hostel is well located and easy to find. Be aware that you need to climb a steep flight of stairs to get to the reception - not easy with large luggage. Interior decor is horrible but whatever.   We…
,Great Location and Food and Friendly Faces,"Private room with shared bathroom - clean and has all the amenities we needed.  Soap, shampoo and conditioner in the bathrooms and hairdryer in the room.  No air-conditioning but windows open for a cool breeze.  Helpful staff and plentiful free breakfast of juice, bagels, toast,…"
,Second time visitor!,"I stayed in a dorm here 2 years ago. This week I was back with my husband in tow so we opted for a private room. They are in a seperate building, 2 streets away. The view from room 205 was amazing! There is a private balcony at the back of the building with views of the bay…"
1,best value - great location,"Loved it. Free minded, great get together, awesome location. Stayed there three nights and met a bunch of people but never felt obligated to take part in the activities. Like joint dinners, dancing, pub crawls and other stuff. Best breakfast i ever had in a hostel.  Huge kitchen…"
1,One Of The Best!,After walking the Pacific Coast Trail and California Coast Trail for a month I was exhausted and dirty by the time I got to San Francisco. I have stayed at many hostels and I now run one myself and I cannot speak highly enough of the Green Tortoise.   The check in process was…
,A venerable budget option in the heart of North Beach,"The best deals at the Green Tortoise are the lovely comfortable double rooms in the annex building, just a few yards down the street from the main hostel. The beds here are only slightly more expensive that then dorm beds, which are as poky and gloomy as dorm beds in city…"
,Great experience,The hostel was in a good location and had friendly staff welcome us. She had use bring up our belongings while we parked our car before checking in. We were lucky to find street parking a 10 minute walk away which saved us $20. The parking garage that they recommend is probably…
1,"Good hostel, great breakfast","Stayed here in two different rooms in May 2015. Overall a fun, clean hostel in an older building. Biggest complaints are the small room sizes and not enough bathrooms for the number of rooms. The staff are super friendly and happy to help, good wifi, good events organised by the…"
,Best hostel in SF,"The Green Hostel is the hostel to stay at in SF! Staff were super friendly and helpful, the free breakfast is the best I've had at any hostel, free dinners 3 nights a weeks and fun events every day organised by the hostel. The only complaint is that there are not nearly enough…"
,Nothing but good words to say..,Myself and a friend recently spent 11 nights at the Green Tortoise and we both have nothing but good words to say about this place. The staff are all incredibly friendly and super helpful when you have any questions.   We stayed in a private twin room so I can't speak about what…
1,Excellent,"Great hostel, very organized and clean, staff very friendly and a big common room/kitchen to meet people. Location is excellent, close to many bars and restaurants, easy access to transportation. Only thing could be better would be to have more toilets/showers in the top floors."
,Value,"This place is a Great place to stay! Great location, clean, great value for money. Ticks all the boxes. If you are looking for constable and great location then this is where you want to be. I have spent 4 days here and I am returning to San Fran and have chosen to stay here…"
,The best place in SF for young travellers on a budget,"San Francisco was our second stop on our US road trip and as a group of four girls we thought this hostel was one of the top ones we stayed at.   The decor was a bit dated but it didn't matter - the family style free meals, central location and social events to opt in and out of…"
1,Best hostel experience!,"I had already been in the Seattle Green Tortoise Hostel and I have had a great experience. I expected the same from the San Francisco one, but, for my surprise, it was even better!  The rooms are clean and the sheets seemed very clean too. I felt very safe in and around the…"
,Fantastic place,"Just finished a green tortoise tour which was awesome, it won't be our last. Stayed for 1 night before moving to north beach but wish we had stayed longer. Brilliant location and great place to hang out and meet people. Few adult clubs near by but all friendly. Even had a chat…"
1,Friendly. Good atmosphere. Clean!,"Been to many hostels around the world. This one is the best. For an expensive city, this was excellent value! Location is superb. You get breakfast (bagels, fruit, juice, coffee, cereal) 3 nights a week they do dinner, which is free, as long as you help out. Lots of resources…"
,Best hostel ever stayed in,"We stayed in the additional building down the block in a private double room which had great views and a nice clean bathroom. We used the main building daily though, for the bagel breakfast each morning which was a great way to start the day and every night when we came back…"
,Best Hostel I have ever stayed in,"- literally, and I have been to many hostels. Good value for money, clean and very friendly. The staff are great and there was such a great opportunity to socialise with others. The location was brilliant and close to everywhere you'd want. My friend and I went for a shared room…"
,Great views and interesting location,"We stayed in the annex of the hostel about a block and half down the road in a room of our own.  We had great views from our room and the kitchen facilities were very good.  We found the room to be good, out only problem was the lack of power points as we wanted to charge things…"
,Good value,"We stayed in a private room for 4 nights, the hostel has alot of features. Very accommodating. Wifi, computers, music nights, sauna, massage chair, big dining area and kitchen, free breakfast and someone at the desk 24 hours. Lots of bathrooms, we never had to wait. Although the…"
,Perfect Spot in SF,"We stayed at the Green Tortoise 4 days/3 nights and it was perfect! It was a lot cheaper than most accommodations (and hostels), especially since we had booked a private room. The staff is friendly and easygoing. Everyday, there was a special available for travellers (free…"
,Friendly staff. Great location ,Rooms were clean and comfortable. Was not too noisy when I stayed here. Breakfast was ample.  Walking distance to most things. Had to wait for bathroom a couple of times but that is to be expected. Large dining room for breakfast. Make your own eggs. They also provide free…
,can't complain too much for the price..,"location can be a lil shady, i heard a molly deal right outside my window at 2 am. the rooms are small and you could have trouble finding places to put your luggage. bathrooms are plentiful but do get quite full quickly during prime time. you have to hurry and snag one quick but…"
,staff comfortable bed and good locstion - the 3 essentials all covered.,"Absolutely great staff, couldnt have been more helpful.  We are a 50yo couple and stayed in one of the private rooms.    The room was a good size, bed very comfortable, heater and hair drier provided as well as laundry facilities.  The location was central to union square and…"
1,Excellent!!!,I stayed at this hostel for a week. The hostel is very clean and the staff are friendly and helpful. The nightly activities were awesome and a great way to meet others. The location was brilliant with connections to everywhere in SF. Free dinners were of restaurant quality and…
,Fantastic hostel in the heart of SF,"The Green Tortoise was a very pleasant hostel stay. Very well organised business... easy check in, very clean, plenty of bathrooms and showers, breakfast,  entertainment and social occasions. The location is convenient to most areas of the city. There is a great ball room /…"
1,Fantastic hostel. Would come back.,"I stayed here for three nights in April. It was such a nice hostel. The staff and other guests are all friendly, its secure (front door locks at 730pm but you can get in any time), the free breakfast is great and has food to suit all preferences. Would stay again."
1,"Great staff, location, and facilities","A highly recommend a stay at the Green Tortoise. I spent 8 nights there and found it to be a great hub for my adventures in SF. The location is central allowing you to access almost anywhere in the city within an hours walk. It's 10 minutes stroll from Fisherman's Wharf, the…"
,Great place!,"Wow what a nice hostel!!! Exactly the way a hostel should be, fun clean, cheap but with great facilities.   Pros: Great staff Great atmosphere  They do fun outings at night such as pubcrawls and dinners  Instruments for everyone to grab and play Good breakfast with lots of…"
1,This is your place if you are an easy-going traveller,"One of the best hostels I've ever stayed in, and the only one I returned to! :) Yes, it has every little nuisance that hostels usually have, but the atmosphere is excellent, the staff is super friendly and they even have fruits at breakfast! Great, great location too!"
1,One of the best hostels I've stayed in,Yes the area seems dodgy with some strips clubs and bars but I still felt safe and during the day it's a great location to go for a walk lots of book shops and restaurants near by. The staff were helpful and friendly. The breakfast and dinners are great! The ballroom is a…
,All what you need in one place!,"This was my first time in SF and I stayed there with a friend and was amaziiing! They have complementary breakfast with everything organic! butter, fruit, fresh juice, coffee, tea, you can cook your own egg! This place  is fun, clean and staff is friendly and helpful. They do…"
,AMAZING!,"Amazing experience at the Green Tortoise, enhanced by the staff and the other backpackers here! Free meals on Wednesday and Friday, and other evening activities organised by the hostel, although if you choose not to partake in these you still don;t miss out! We met some amazing…"
1,Best hostel,"I stayed in this hostel for 3 days during my stay in San Francisco and I would recommend it to anyone going to SF. Beds are comfortable, location is great, breakfasts are yummy and people are great!   You can read all about my stay on my blog: https://travelpsyched.wordpress.com/"
1,Fantastic Hostel,"I cannot speak highly enough of this hostel. I was meant to stay for two nights, however plans changed and I only stayed one night. I caught an overnight bus from LA, meaning I arrived into San Francisco at around 7am. I walked into the hostel and was greeted warmly, and the…"
,Friendly. Clean. AMAZING,"Best place to stay. Hands down. The staff is friendly, knowledgeable about the area. Super clean. Staff seriously makes this place a fundamental stop for experiencing san fransico. It's right near everything you need. And has great deals on local fair."
1,A bit of everything!,"Very nice place to stay in SF! Breakfast super good, including fresh fruits and eggs. Free dinners very healthy and homemade,  thanks to an italian Chef! Rooms are clean and spacious if you choose a shared bedroom, you've got your light next to your bed and plugins. There is a…"
,A bit late but hey...,"We stayed at the Green Tortoise in May 2013, during our 10-day trip in SF.   The location couldn't be better, you're at walking distance from pretty much anything you wanna see or you have really good communications for e.g. Golden Gate and such. The hostel has really good…"
1,Love green tortoise!,"The green tortoise was the perfect place to stay whilst travelling by myself. The rooms were clean and beds were comfy. Was so surprised but extremely grateful to find frew breakfast every morning and free meals on Monday, Wednesday and Friday - and the food was delicious as…"
1,Best hostel in the world ,"After travelling across NZ, Oz, Fiji and San Francisco for the past six months I had experienced my fair share of hostels. Green tortoise was by far the best hostel I've ever stayed in. First off the beds were so comfy, thick mattresses nice warm cosy duvets. The bathrooms were…"
1,Great value and location,"Finding affordable places to stay in an expensive city like San Francisco can be a challenge. When I saw this hostel was offering rooms for just $36 per night, I jumped at the chance.  The location is good -- near Chinatown and a bunch of bars and nightclubs. It's maybe a…"
1,very friendly,"a very friendly astmosphere, clean rooms and welcoming staff beds and showers are in great conditions, breakfast is comes in big amounts and at the desk all kind of information is provided to make to visit the city easier"
,Very cheap and fun,"The reception works 24/7. I arrived in the middle of the night and was welcomed. The atmosphere was absolutely democratic. Maybe, the hostel wasn't the best choice for a business trip, but anyway I really enjoyed it.  Definitely, the location is perfect. It is possible to get to…"
,Gutted I could stay longer.,"Really really good choice if you want to be in the middle of it all. The location is brilliant, just north of Chinatown there are some great bars in this area. The room was pretty nice. I got the window bed over the street which I thought was a bit of a con (stick an extra bed…"
,First West Coast hostel experience = Winning,"This hostel is in a great location and is a very distinctive green so you can easily pick it out when walking down the street (which we did a ton of!).  The staff was very friendly, helpful, and informative.  You have to pay $20 in cash, per person, when you check in as a…"
